Company Name,Application Status,Role,Salary,Date Submitted,Link to Job Req,Rejection Reason,Notes
Stripe,N/A,"Software Engineer, Intern (Summer and Winter)","$123,500 Base --> $59.4 per hour",,https://stripe.com/jobs/listing/software-engineer-intern-summer-and-winter/7210115?utm_source=github-vansh-ouckah,N/A,
Plaid,N/A,Software Engineer Intern,"$130K - $130K (Salaried) --> $62.50 per hour
",,https://app.ripplematch.com/v2/public/job/146d369a?utm_source=github-vansh-ouckah,N/A,
Klayvio,Submitted - Pending Response,Full-stack Software Engineer Intern,$53 per hour,9/16/2025,https://job-boards.greenhouse.io/klaviyocampus/jobs/7144362003?utm_source=github-vansh-ouckah,N/A,
Meta,Submitted - Pending Response,"
Software Engineer, Intern/Co-op","$7,313/month to $12,134/month + benefits",9/16/2025,https://www.metacareers.com/jobs/1471056164046415?utm_source=github-vansh-ouckah,N/A,
OpenAI,Rejected,"Software Engineer Internship / Co-op, Applied Emerging Talent (Summer 2026)
",$60 per hour,,https://jobs.ashbyhq.com/openai/566ce27d-8a1c-497c-a301-0912010d7b29?utm_source=github-vansh-ouckah,N/A,
Channel3,Submitted - Pending Response,Software Engineering Intern at Channel3 (S25),$7.5k monthly ~43 per hour,,https://www.workatastartup.com/jobs/82013?utm_source=github-vansh-ouckah,N/A,
Pinterest,Submitted - Pending Response,Software Engineer Intern 2026 — Remote (US),"$8,250 - $11,000 monthly",,https://www.pinterestcareers.com/jobs/7202269/software-engineer-intern-2026-remote-us/?utm_source=github-vansh-ouckah&gh_jid=7202269,N/A,
Uber,N/A,Software Engineer Intern,$52 per hour,,https://university-uber.icims.com/jobs/149140/job?utm_source=github-vansh-ouckah&mobile=false&width=1270&height=500&bga=true&needsRedirect=false&jan1offset=-300&jun1offset=-240,N/A,
Slack,Submitted - Pending Response,"Summer 2026 Intern - Software Engineer

",$47 - $59 per hour,,https://salesforce.wd12.myworkdayjobs.com/en-US/Slack/job/California---San-Francisco/Summer-2026-Intern---Software-Engineer_JR308796-3?utm_source=github-vansh-ouckah,N/A,
Riot Games,Submitted - Pending Response,"Software Engineering Intern - Summer 2026 (Remote)
",$56.59 hourly,,https://www.riotgames.com/en/work-with-us/job/7254441/software-engineering-intern-summer-2026-remote-los-angeles-usa?utm_source=github-vansh-ouckah,N/A,
Sigma,N/A,"Software Engineering Intern (Summer 2026)
",$50 per hour,,https://job-boards.greenhouse.io/sigmacomputing/jobs/7501718003?utm_source=github-vansh-ouckah,N/A,
Waymo,Submitted - Pending Response,"Software Engineering Intern (Summer 2026)
",$60 per hour,,https://careers.withwaymo.com/jobs/2026-summer-intern-bs-ms-software-engineering-fleet-response-mountain-view-california-united-states-san-francisco?gh_jid=7347429&utm_source=github-vansh-ouckah,N/A,
Viasat,Submitted - Pending Response,Software Engineering intern,$20.91 - $56.97 / hourly. ,,https://careers.viasat.com/jobs/5294/job?utm_source=github-vansh-ouckah,N/A,
Credit Karma,Submitted - Pending Response,Software Engineering Intern,,,https://boards.greenhouse.io/embed/job_app?token=5760872003&utm_source=github-vansh-ouckah,N/A,
SeatGeek,Submitted - Pending Response,Software Engineering intern,$55 /hr + benefits,,https://boards.greenhouse.io/embed/job_app?token=7298481&utm_source=github-vansh-ouckah,N/A,
Coinbase,Submitted - Pending Response,Software Engineer Intern,$60/hr,,https://boards.greenhouse.io/embed/job_app?token=7268895&utm_source=Simplify&ref=Simplify,N/A,
Whatnot,Submitted - Pending Response,Software Engineer intern,$65/hr,,https://jobs.ashbyhq.com/whatnot/8250532f-4bfd-4ee5-a041-4a2e54047cf7?utm_source=github-vansh-ouckah,N/A,
L.L Bean,N/A,Software Engineer Intern,,,https://llbean.wd1.myworkdayjobs.com/en-US/LLBean_Careers/job/Freeport-ME/Software-Developer-Internship_JR10190?utm_source=github-vansh-ouckah,N/A,
Zip,Submitted - Pending Response,Software Engineer Intern,$58 - $60 / hr,,https://jobs.ashbyhq.com/zip/ff6e6e25-e0e0-4d81-b1f6-be75a7a0511d?utm_source=github-vansh-ouckah,N/A,
Github,Submitted - Pending Response,Software Engineer Intern,USD $32.16 - USD $85.38 /Hr.,,https://githubinc.jibeapply.com/jobs/4640?utm_source=github-vansh-ouckah,N/A,
Arcesium,Submitted - Pending Response,Software Engineer Intern,$10k/m --> $57/h,,https://job-boards.greenhouse.io/arcesiumllc/jobs/4958459007?gh_src=08c1e8d87us,N/A,
Datadog,Submitted - Pending Response,Software Engineering Intern,$100k - $110k/yr --> ~$48/hr,,https://careers.datadoghq.com/detail/7158137/?gh_jid=7158137&gh_src=8363eca61,N/A,
Nimble,Submitted - Pending Response,"Software Engineer Intern - Summer Session (Summer 2026)
",$8k/month,,https://jobs.lever.co/nimblerx/ceea467c-75bb-4822-b5d5-4c2fae2c3264/apply,N/A,
Anduril,Submitted - Pending Response,"Software Engineer Intern
",Paid,,https://job-boards.greenhouse.io/andurilindustries/jobs/4830901007?utm_source=Simplify&ref=Simplify,N/A,
Brilliant,N/A,Software Engineer Intern,$2500/week,,https://jobs.lever.co/brilliant/758ab26f-5a61-4079-918f-f984d9818391,N/A,
Braze,Submitted - Pending Response,Software Engineer Intern,$60/hr,,https://job-boards.greenhouse.io/braze/jobs/7383721?utm_source=github-vansh-ouckah,N/A,
Disney,Submitted - Pending Response,Software Enginner Intern,$42/hr,,https://disney.wd5.myworkdayjobs.com/disneycareer/job/Glendale-CA-USA/Software-Engineering-Intern--Summer-2026_10135078?utm_source=Simplify&ref=Simplify,N/A,
ABB,Submitted - Pending Response,Software Engineering Intern- Summer 2026,$20-34/hr,,https://abb.wd3.myworkdayjobs.com/external_career_page/job/USA-NC-Cary/Software-Engineering-Intern--Summer-2026_JR00015149?utm_source=Simplify&ref=Simplify,N/A,
Circle ,Submitted - Pending Response,Software Engineer Intenrn,$40.00 - $45.00/hr,,https://careers.circle.com/us/en/job/JR100188-EG?utm_source=Simplify&ref=Simplify,N/A,
Benchling,Submitted - Pending Response,Software Engineer Intern,$60/hr,,https://job-boards.greenhouse.io/benchling/jobs/7362703?utm_source=Simplify&ref=Simplify,N/A,
Bandwidth,Submitted - Pending Response,Software Development Intern - SW Infrastructure - Summer 2026,$30 - $35/hr,,https://job-boards.greenhouse.io/bandwidth/jobs/7386207?utm_source=Simplify&ref=Simplify,N/A,
ALSO.,Rejected,"Software Engineering Intern, Firmware - Summer 2026
",$35-$45 USD per hour,,https://jobs.ashbyhq.com/ridealso/3451e5c5-342c-4b7c-855c-df8e3ac94065?utm_source=Simplify&ref=Simplify,N/A,
UiPath,Submitted - Pending Response,"Front-End Software Engineer Intern
",$0.00 – $57.00 per hour,,https://jobs.ashbyhq.com/uipath/dd678df8-91e3-468f-874e-f669dfc1e668?utm_source=Simplify&ref=Simplify,N/A,
Metronome,Submitted - Pending Response,Software Engineer Intern,$50 per hour,,https://job-boards.greenhouse.io/metronome/jobs/4894044008?gh_src=t1e255w28us,N/A,
Bloom Energy,Submitted - Pending Response,Full-stack Software Engineer Intern,$36 - $50 per hour,,https://bloomenergy.wd1.myworkdayjobs.com/BloomEnergyCareers/job/San-Jose-California/Full-Stack-Developer-Intern_JR-20763?source=LinkedIn,N/A,
Amperity,Submitted - Pending Response,Software Development Engineer Intern (Summer 2026),$55 per hour,,https://amperity.com/careers/7404458?gh_jid=7404458&gh_src=053ff1fc1us&gh_jid=7404458&utm_source=Simplify&ref=Simplify,N/A,
Octura,Submitted - Pending Response,Software Engineer Intern,~$60-$70,,https://job-boards.greenhouse.io/octaura/jobs/4662934007?utm_source=Simplify&ref=Simplify,N/A,
IXL Learning,Submitted - Pending Response,Software Engineer Intern,$35-$40 USD per hour,,https://www.ixl.com/company/careers?gh_jid=8299967002&utm_source=Simplify&ref=Simplify,N/A,
Trillium,Submitted - Pending Response,Software Engineer Intern,$25/hr,,https://www.trlm.com/apply/?gh_jid=4993466007&ref=Simplify,N/A,
